category_zh,category_en,category_el,name_zh,name_en,name_el,description_zh,description_en,description_el,price,image_url,is_available,sort_order
"精选套餐","Special Menu","SPECIAL MENU","Menu A","Menu A","Menu A","汤 配 κοτόπουλο 和 καλαμπόκι, ανοιξιάτικο ρολό λαχανικών, τηγανητό ρύζι 配 αυγό 和 γλυκόξινο κοτόπουλο","Soup with κοτόπουλο and καλαμπόκι, ανοιξιάτικο ρολό λαχανικών, τηγανητό ρύζι with αυγό and γλυκόξινο κοτόπουλο","Σούπα με κοτόπουλο και καλαμπόκι, ανοιξιάτικο ρολό λαχανικών, τηγανητό ρύζι με αυγό και γλυκόξινο κοτόπουλο","18.9","","true","1001"
"精选套餐","Special Menu","SPECIAL MENU","Menu Β","Menu Β","Menu Β","汤 πικάντικη 和 ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι 配 αυγό, κομματάκια φιλεταρισμένο κοτόπουλο 和 σάλτσα Thai. Καυτερό","Soup πικάντικη and ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι with αυγό, κομματάκια φιλεταρισμένο κοτόπουλο and σάλτσα Thai. Καυτερό","Σούπα πικάντικη και ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι με αυγό, κομματάκια φιλεταρισμένο κοτόπουλο και σάλτσα Thai. Καυτερό","18.9","","true","1002"
"精选套餐","Special Menu","SPECIAL MENU","Menu C","Menu C","Menu C","汤 配 κοτόπουλο 和 καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι 配 αυγό 和 μοσχάρι 配 κάρυ","Soup with κοτόπουλο and καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι with αυγό and μοσχάρι with κάρυ","Σούπα με κοτόπουλο και καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι με αυγό και μοσχάρι με κάρυ","19.9","","true","1003"
"精选套餐","Special Menu","SPECIAL MENU","Menu D","Menu D","Menu D","汤 配 κοτόπουλο 和 καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι 配 αυγό 和 πάπια ψητή","Soup with κοτόπουλο and καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι with αυγό and πάπια ψητή","Σούπα με κοτόπουλο και καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητό ρύζι με αυγό και πάπια ψητή","20.9","","true","1004"
"多人套餐","Set Menu","MENU","Menu 1","Menu 1","Menu 1","Για 2 άτομα. 汤 καυτερή 和 ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητό ρύζι 配 αυγά, γλυκόξινο κοτόπουλο 和 μοσχάρι 配 σάλτσα στρειδιών","Για 2 άτομα. Soup καυτερή and ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητό ρύζι with αυγά, γλυκόξινο κοτόπουλο and μοσχάρι with σάλτσα στρειδιών","Για 2 άτομα. Σούπα καυτερή και ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητό ρύζι με αυγά, γλυκόξινο κοτόπουλο και μοσχάρι με σάλτσα στρειδιών","36.9","","true","2001"
"多人套餐","Set Menu","MENU","Menu 2","Menu 2","Menu 2","Για 2 άτομα. 汤 配 κοτόπουλο 和 καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητά noodles 配 αυγό 和 κοτόπουλο 配 κάρυ 和 χοιρινό γλυκόξινο","Για 2 άτομα. Soup with κοτόπουλο and καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητά noodles with αυγό and κοτόπουλο with κάρυ and χοιρινό γλυκόξινο","Για 2 άτομα. Σούπα με κοτόπουλο και καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητά noodles με αυγό και κοτόπουλο με κάρυ και χοιρινό γλυκόξινο","36.9","","true","2002"
"多人套餐","Set Menu","MENU","Menu 3","Menu 3","Menu 3","Για 4 άτομα. 汤 配 κοτόπουλο 和 καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητές φτερούγες κοτόπουλου, γαρίδες 配 σουσάμι, τηγανητό ρύζι 配 αυγό, τηγανητά noodles 配 αυγό, κοτόπουλο γλυκόξινο, ανά配ικτη ψητή πάπια 和 χοιρινό Tja Sieuw 和 ανά配ικτα λαχανικά 配 σάλτσα στρειδιών","Για 4 άτομα. Soup with κοτόπουλο and καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητές φτερούγες κοτόπουλου, γαρίδες with σουσάμι, τηγανητό ρύζι with αυγό, τηγανητά noodles with αυγό, κοτόπουλο γλυκόξινο, ανάwithικτη ψητή πάπια and χοιρινό Tja Sieuw and ανάwithικτα λαχανικά with σάλτσα στρειδιών","Για 4 άτομα. Σούπα με κοτόπουλο και καλαμπόκι, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητές φτερούγες κοτόπουλου, γαρίδες με σουσάμι, τηγανητό ρύζι με αυγό, τηγανητά noodles με αυγό, κοτόπουλο γλυκόξινο, ανάμεικτη ψητή πάπια και χοιρινό Tja Sieuw και ανάμεικτα λαχανικά με σάλτσα στρειδιών","81.5","","true","2003"
"多人套餐","Set Menu","MENU","Menu 4","Menu 4","Menu 4","Για 4 άτομα. 汤 καυτερή 和 ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητές φτερούγες κοτόπουλου, γαρίδες 配 σουσάμι, τηγανητό ρύζι 配 αυγό, τηγανητά noodles 配 αυγό, 1/2 ψητή πάπια, ανά配ικτα λαχανικά 配 γαρίδες 和 μοσχάρι 配 σάλτσα μαύρων φασολιών","Για 4 άτομα. Soup καυτερή and ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητές φτερούγες κοτόπουλου, γαρίδες with σουσάμι, τηγανητό ρύζι with αυγό, τηγανητά noodles with αυγό, 1/2 ψητή πάπια, ανάwithικτα λαχανικά with γαρίδες and μοσχάρι with σάλτσα μαύρων φασολιών","Για 4 άτομα. Σούπα καυτερή και ξινή, ανοιξιάτικα ρολά λαχανικών, τηγανητά won ton, τηγανητές φτερούγες κοτόπουλου, γαρίδες με σουσάμι, τηγανητό ρύζι με αυγό, τηγανητά noodles με αυγό, 1/2 ψητή πάπια, ανάμεικτα λαχανικά με γαρίδες και μοσχάρι με σάλτσα μαύρων φασολιών","85.5","","true","2004"
"汤类","Soups","ΣΟΥΠΕΣ","1. 汤 酸辣","1. Soup Hot and Sour","1. Σούπα Καυτερή και Ξινή","","","","4.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/d750acf2-1b70-11ec-93d5-6a7d1057903b_wok8.jpeg","true","3001"
"汤类","Soups","ΣΟΥΠΕΣ","2. 汤 鸡肉 和 玉米","2. Soup Chicken and Corn","2. Σούπα Κοτόπουλο και Καλαμπόκι","","","","4.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/e3eab048-1b70-11ec-90fb-969ac31d3c5d_wok9.jpeg","true","3002"
